domain,class_modifier,class_ncit,class_prefLabel,prop,label,range,cardinality,ncit,prefLabel,definition,relationshipType,modelName,modelRepresentation,boundCodelist,boundCodelistNote
ConditionAssignment,Concrete,C201335,Condition Assignment,ConditionAssignment-extensionAttributes,ConditionAssignment-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
DocumentContentReference,Concrete,C215499,Document Content Reference,DocumentContentReference-appliesToId,DocumentContentReference-appliesToId,StudyDefinitionDocument,1,,,A USDM relationship between the DocumentContentReference and StudyDefinitionDocument classes which identifies the study definition document to which the document content reference applies.,Ref,appliesTo,Relationship,,
DocumentContentReference,Concrete,C215499,Document Content Reference,DocumentContentReference-extensionAttributes,DocumentContentReference-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Duration,Concrete,C25330,Duration,Duration-quantity,Duration-quantity,QuantityRange,0..1,C217011,Duration Quantity Value,The value representing the amount of time over which the event occurs.,Value,quantity,Attribute,,
Duration,Concrete,C25330,Duration,Duration-extensionAttributes,Duration-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
EligibilityCriterion,Concrete,C16112,Study Eligibility Criterion,EligibilityCriterion-category,EligibilityCriterion-category,Code,1,C83016,Study Eligibility Criterion Category,A classification of the inclusion exclusion criterion.,Value,category,Attribute,C66797,Y (SDTM Terminology Codelist C66797)
EligibilityCriterion,Concrete,C16112,Study Eligibility Criterion,EligibilityCriterion-notes,EligibilityCriterion-notes,CommentAnnotation,0..*,C215537,Eligibility Criterion Notes,A brief written record relevant to the eligibility criterion.,Value,notes,Attribute,,
EligibilityCriterion,Concrete,C16112,Study Eligibility Criterion,EligibilityCriterion-criterionItemId,EligibilityCriterion-criterionItemId,EligibilityCriterionItem,1,,,A USDM relationship between the EligibilityCriterion and EligibilityCriterionItem classes which identifies the item belonging to the eligibility criterion.,Ref,criterionItem,Relationship,,
EligibilityCriterion,Concrete,C16112,Study Eligibility Criterion,EligibilityCriterion-nextId,EligibilityCriterion-nextId,EligibilityCriterion,0..1,,,A USDM relationship within the EligibilityCriterion class which identifies the eligibility criterion that follows the current eligibility criterion in the display order.,Ref,next,Relationship,,
EligibilityCriterion,Concrete,C16112,Study Eligibility Criterion,EligibilityCriterion-previousId,EligibilityCriterion-previousId,EligibilityCriterion,0..1,,,A USDM relationship within the EligibilityCriterion class which identifies the eligibility criterion that precedes the current eligibility criterion in the display order.,Ref,previous,Relationship,,
EligibilityCriterion,Concrete,C16112,Study Eligibility Criterion,EligibilityCriterion-extensionAttributes,EligibilityCriterion-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
EligibilityCriterionItem,Concrete,C215506,Eligibility Criterion Item,EligibilityCriterionItem-extensionAttributes,EligibilityCriterionItem-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Encounter,Concrete,C215488,Study Encounter,Encounter-type,Encounter-type,Code,1,C188839,Study Encounter Type,A characterization or classification of the study encounter.,Value,type,Attribute,C188728,Y (C188728)
Encounter,Concrete,C215488,Study Encounter,Encounter-environmentalSettings,Encounter-environmentalSettings,Code,0..*,C188840,Environmental Setting,"The environment/setting where the event, intervention, or finding occurred.",Value,environmentalSettings,Attribute,C127262,Y (SDTM Terminology Codelist C127262)
Encounter,Concrete,C215488,Study Encounter,Encounter-contactModes,Encounter-contactModes,Code,0..*,C188841,Contact Mode,"The means by which an interaction occurs between the subject/participant and person or entity (e.g., a device).",Value,contactModes,Attribute,C171445,Y (SDTM Terminology Codelist C171445)
Encounter,Concrete,C215488,Study Encounter,Encounter-notes,Encounter-notes,CommentAnnotation,0..*,C215518,Encounter Notes,A brief written record relevant to the study encounter.,Value,notes,Attribute,,
Encounter,Concrete,C215488,Study Encounter,Encounter-transitionEndRule,Encounter-transitionEndRule,TransitionRule,0..1,,,A USDM relationship between the Encounter and TransitionRule classes which provides the details associated with a transition rule used to trigger the end of an encounter.,Value,transitionEndRule,Relationship,,
Encounter,Concrete,C215488,Study Encounter,Encounter-nextId,Encounter-nextId,Encounter,0..1,,,A USDM relationship within the Encounter class which identifies the encounter that chronologically follows the current encounter.,Ref,next,Relationship,,
Encounter,Concrete,C215488,Study Encounter,Encounter-transitionStartRule,Encounter-transitionStartRule,TransitionRule,0..1,,,A USDM relationship between the Encounter and TransitionRule classes which provides the details associated with a transition rule used to trigger the start of an encounter.,Value,transitionStartRule,Relationship,,
Encounter,Concrete,C215488,Study Encounter,Encounter-scheduledAtId,Encounter-scheduledAtId,Timing,0..1,,,A USDM relationship between the Encounter and Timing classes which provides information related to the scheduled timing of an encounter.,Ref,scheduledAt,Relationship,,
Encounter,Concrete,C215488,Study Encounter,Encounter-previousId,Encounter-previousId,Encounter,0..1,,,A USDM relationship within the Encounter class which identifies the encounter that chronologically precedes the current encounter.,Ref,previous,Relationship,,
Encounter,Concrete,C215488,Study Encounter,Encounter-extensionAttributes,Encounter-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Endpoint,Concrete,C25212,Study Endpoint,Endpoint-level,Endpoint-level,Code,1,C188826,Study Endpoint Level,A characterization or classification of the study endpoint that determines its category of importance relative to other study endpoints.,Value,level,Attribute,C188726,Y (C188726)
Endpoint,Concrete,C25212,Study Endpoint,Endpoint-extensionAttributes,Endpoint-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Estimand,Concrete,C188813,Estimand,Estimand-notes,Estimand-notes,CommentAnnotation,0..*,C215521,Estimand Notes,A brief written record relevant to the study estimand.,Value,notes,Attribute,,
Estimand,Concrete,C188813,Estimand,Estimand-analysisPopulationId,Estimand-analysisPopulationId,AnalysisPopulation,1,,,A USDM relationship between the Estimand and AnalysisPopulation classes which provides the details associated with an instance of the analysis population used to partially define a study estimand.,Ref,analysisPopulation,Relationship,,
Estimand,Concrete,C188813,Estimand,Estimand-variableOfInterestId,Estimand-variableOfInterestId,Endpoint,1,,,A USDM relationship between the Estimand and Endpoint classes which provides the details associated with an instance of the variable of interest within a study endpoint used to partially define a study estimand.,Ref,variableOfInterest,Relationship,,
Estimand,Concrete,C188813,Estimand,Estimand-intercurrentEvents,Estimand-intercurrentEvents,IntercurrentEvent,1..*,,,A USDM relationship between the Estimand and IntercurrentEvent classes which identifies the set of intercurrent events associated with a study estimand.,Value,intercurrentEvents,Relationship,,
Estimand,Concrete,C188813,Estimand,Estimand-interventionIds,Estimand-interventionIds,StudyIntervention,1..*,,,A USDM relationship between the Estimand and StudyIntervention classes which identifies the set of study interventions associated with the Estimand.,Ref,interventions,Relationship,,
Estimand,Concrete,C188813,Estimand,Estimand-extensionAttributes,Estimand-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ExtensionAttribute,Concrete,,,ExtensionAttribute-valueQuantity,ExtensionAttribute-valueQuantity,Quantity,0..1,,,,Value,,,,
ExtensionAttribute,Concrete,,,ExtensionAttribute-valueRange,ExtensionAttribute-valueRange,Range,0..1,,,,Value,,,,
ExtensionAttribute,Concrete,,,ExtensionAttribute-valueCode,ExtensionAttribute-valueCode,Code,0..1,,,,Value,,,,
ExtensionAttribute,Concrete,,,ExtensionAttribute-valueAliasCode,ExtensionAttribute-valueAliasCode,AliasCode,0..1,,,,Value,,,,
ExtensionAttribute,Concrete,,,ExtensionAttribute-valueExtensionClass,ExtensionAttribute-valueExtensionClass,ExtensionClass,0..1,,,,Value,,,,
ExtensionAttribute,Concrete,,,ExtensionAttribute-extensionAttributes,ExtensionAttribute-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ExtensionClass,Concrete,,,ExtensionClass-extensionAttributes,ExtensionClass-extensionAttributes,ExtensionAttribute,1..*,,,,Value,,,,
GeographicScope,Concrete,C207591,Geographic Scope,GeographicScope-type,GeographicScope-type,Code,1,C207495,Geographic Scope Type,A characterization or classification of the geographic scope.,Value,type,Attribute,C207412,Y (C207412)
GeographicScope,Concrete,C207591,Geographic Scope,GeographicScope-code,GeographicScope-code,AliasCode,0..1,C207494,Geographic Scope Code,A symbol or combination of symbols which is assigned to the geographic scope.,Value,code,Attribute,,"Y (Point out to external dictionaries: Standard code is ISO-3166; Alias codes drawn from GENC, UN Region Codes, etc.)"
GeographicScope,Concrete,C207591,Geographic Scope,GeographicScope-extensionAttributes,GeographicScope-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
GovernanceDate,Concrete,C207595,Study Governance Date,GovernanceDate-type,GovernanceDate-type,Code,1,C207496,Study Governance Date Type,A characterization or classification of the study governance date.,Value,type,Attribute,C207413,Y (C207413)
GovernanceDate,Concrete,C207595,Study Governance Date,GovernanceDate-geographicScopes,GovernanceDate-geographicScopes,GeographicScope,1..*,,,A USDM relationship between the GovernanceDate and GeographicScope classes which identifies the set of geographic scopes associated with the governance date.,Value,geographicScopes,Relationship,,
GovernanceDate,Concrete,C207595,Study Governance Date,GovernanceDate-extensionAttributes,GovernanceDate-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Identifier,Abstract,C25364,Identifier,Identifier-scopeId,Identifier-scopeId,Organization,1,,,A USDM relationship between the AdministrableProductIdentifier and Organization class which provides the details associated with which provides the details associated with each organization that has assigned the administrable product identifier.,Ref,scope,Relationship,,
Indication,Concrete,C41184,Disease/Condition Indication,Indication-codes,Indication-codes,Code,0..*,C188822,Disease/Condition Indication Code,A short sequence of characters that represents the disease/condition indication.,Value,codes,Attribute,,"Y (Point out to multiple Biomedical coding dictionaries such as SNOMEDCT (for FDA), MedDRA, NCIt, ICD's, etc.)"
Indication,Concrete,C41184,Disease/Condition Indication,Indication-notes,Indication-notes,CommentAnnotation,0..*,C215509,Indication Notes,A brief written record relevant to the disease/condition indication.,Value,notes,Attribute,,
Indication,Concrete,C41184,Disease/Condition Indication,Indication-extensionAttributes,Indication-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Ingredient,Concrete,C51981,Ingredient,Ingredient-role,Ingredient-role,Code,1,C215595,Ingredient Role,The intended use of the ingredient within the context of the compounded substance or mixture.,Value,role,Attribute,,Y (Point to FHIR value set: Ingredient Role)
Ingredient,Concrete,C51981,Ingredient,Ingredient-substance,Ingredient-substance,Substance,1,,,A USDM relationship between the Ingredient and Substance classes that identifies the substance associated with the ingredient.,Value,substance,Relationship,,
Ingredient,Concrete,C51981,Ingredient,Ingredient-extensionAttributes,Ingredient-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
IntercurrentEvent,Concrete,C188815,Intercurrent Event,IntercurrentEvent-extensionAttributes,IntercurrentEvent-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
InterventionalStudyDesign,Concrete,C215503,Interventional Study Design,InterventionalStudyDesign-model,InterventionalStudyDesign-model,Code,1,C98746,Intervention Model Type,The general design of the strategy for assigning interventions to subjects in a clinical study. (clinicaltrials.gov),Value,model,Attribute,C99076,Y (SDTM Terminology Codelist C99076)
InterventionalStudyDesign,Concrete,C215503,Interventional Study Design,InterventionalStudyDesign-subTypes,InterventionalStudyDesign-subTypes,Code,0..*,C49660,Trial Type,The nature of the interventional study for which information is being collected.,Value,subTypes,Attribute,C66739,Y (SDTM Terminology Codelist C66739)
InterventionalStudyDesign,Concrete,C215503,Interventional Study Design,InterventionalStudyDesign-blindingSchema,InterventionalStudyDesign-blindingSchema,AliasCode,0..1,C49658,Trial Blinding Schema,"The type of experimental design used to describe the level of awareness of the study subjects and/ or study personnel as it relates to the respective intervention(s) or assessments being observed, received or administered.",Value,blindingSchema,Attribute,C66735,Y (SDTM Terminology Codelist C66735)
