domain,class_modifier,class_ncit,class_prefLabel,prop,label,range,cardinality,ncit,prefLabel,definition,relationshipType,modelName,modelRepresentation,boundCodelist,boundCodelistNote
ProductOrganizationRole,Concrete,C215502,Product Organization Role,ProductOrganizationRole-appliesToIds,ProductOrganizationRole-appliesToIds,AdministrableProduct | MedicalDevice,0..*,,,A USDM relationship between the ProductOrganizationRole and either the AdministrableProduct or MedicalDevice class that identifies the administrable product or medical device to which the product organization role applies.,Ref,appliesTo,Relationship,,
ProductOrganizationRole,Concrete,C215502,Product Organization Role,ProductOrganizationRole-organizationId,ProductOrganizationRole-organizationId,Organization,1,,,A USDM relationship between the ProductOrganizationRole and Organization classes which identifies the organization associated with the product organization role.,Ref,organization,Relationship,,
ProductOrganizationRole,Concrete,C215502,Product Organization Role,ProductOrganizationRole-extensionAttributes,ProductOrganizationRole-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Quantity,Concrete,C25256,Quantity,Quantity-unit,Quantity-unit,AliasCode,0..1,C44258,Quantity Unit,The type of unit of measure being used to express a quantity.,Value,unit,Attribute,C71620,Y (SDTM Terminology Codelist C71620)
Quantity,Concrete,C25256,Quantity,Quantity-extensionAttributes,Quantity-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Range,Concrete,C38013,Range,Range-minValue,Range-minValue,Quantity,1,C25570,Minimum Value,The smallest value in quantity or degree in a set of values.,Value,minValue,Attribute,,
Range,Concrete,C38013,Range,Range-maxValue,Range-maxValue,Quantity,1,C25564,Maximum Value,The largest value in quantity or degree in a set of values.,Value,maxValue,Attribute,,
Range,Concrete,C38013,Range,Range-extensionAttributes,Range-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ReferenceIdentifier,Concrete,C82531,Reference Identifier,ReferenceIdentifier-type,ReferenceIdentifier-type,Code,1,C215571,Reference Identifier Type,A characterization or classification of the reference identifier.,Value,type,Attribute,C215478,Y (C215478)
ReferenceIdentifier,Concrete,C82531,Reference Identifier,ReferenceIdentifier-extensionAttributes,ReferenceIdentifier-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ResponseCode,Concrete,C201347,Response Code,ResponseCode-code,ResponseCode-code,Code,1,C217013,Response Code Value,The literal value of a response code.,Value,code,Attribute,,
ResponseCode,Concrete,C201347,Response Code,ResponseCode-extensionAttributes,ResponseCode-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ScheduleTimeline,Concrete,C201348,Schedule Timeline,ScheduleTimeline-plannedDuration,ScheduleTimeline-plannedDuration,Duration,0..1,C217012,Schedule Timeline Planned Duration,The period of time over which the scheduled timeline is intended to take place.,Value,plannedDuration,Attribute,,
ScheduleTimeline,Concrete,C201348,Schedule Timeline,ScheduleTimeline-instances,ScheduleTimeline-instances,ScheduledInstance,0..*,,,"A USDM relationship between the ScheduleTimeline and ScheduledInstance classes which identifies the set of scheduled instances (e.g., scheduled activity instances or scheduled decision instances) associated with the scheduled timeline.",Value,instances,Relationship,,
ScheduleTimeline,Concrete,C201348,Schedule Timeline,ScheduleTimeline-entryId,ScheduleTimeline-entryId,ScheduledInstance,1,,,"A USDM relationship between the ScheduleTimeline and ScheduledInstance classes which defines the entry into a scheduled instance (e.g., scheduled activity instances or scheduled decision instances) for a timeline.",Ref,entry,Relationship,,
ScheduleTimeline,Concrete,C201348,Schedule Timeline,ScheduleTimeline-exits,ScheduleTimeline-exits,ScheduleTimelineExit,0..*,,,A USDM relationship between the ScheduleTimeline and ScheduleTimelineExit classes which identifies the set of exits from the scheduled timeline.,Value,exits,Relationship,,
ScheduleTimeline,Concrete,C201348,Schedule Timeline,ScheduleTimeline-timings,ScheduleTimeline-timings,Timing,0..*,,,A USDM relationship between the ScheduleTimeline and Timing classes which identifies the set of timings associated with the scheduled timeline.,Value,timings,Relationship,,
ScheduleTimeline,Concrete,C201348,Schedule Timeline,ScheduleTimeline-extensionAttributes,ScheduleTimeline-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ScheduleTimelineExit,Concrete,C201349,Schedule Timeline Exit,ScheduleTimelineExit-extensionAttributes,ScheduleTimelineExit-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ScheduledActivityInstance,Concrete,C201350,Scheduled Activity Instance,ScheduledActivityInstance-activityIds,ScheduledActivityInstance-activityIds,Activity,0..*,,,A USDM relationship between the ScheduledActivityInstance and Activity classes which identifies the set of activities associated with a scheduled activity instance.,Ref,activities,Relationship,,
ScheduledActivityInstance,Concrete,C201350,Scheduled Activity Instance,ScheduledActivityInstance-encounterId,ScheduledActivityInstance-encounterId,Encounter,0..1,,,A USDM relationship between the ScheduledActivityInstance and Encounter classes which defines the subject encounter associated with the ScheduleActivityInstance.,Ref,encounter,Relationship,,
ScheduledActivityInstance,Concrete,C201350,Scheduled Activity Instance,ScheduledActivityInstance-timelineId,ScheduledActivityInstance-timelineId,ScheduleTimeline,0..1,,,A USDM relationship between the ScheduledActivityInstance and ScheduleTimeline classes which provides the details associated with an instance of a scheduled timeline related to a scheduled activity instance.,Ref,timeline,Relationship,,
ScheduledActivityInstance,Concrete,C201350,Scheduled Activity Instance,ScheduledActivityInstance-timelineExitId,ScheduledActivityInstance-timelineExitId,ScheduleTimelineExit,0..1,,,A USDM relationship between the ScheduledActivityInstance and ScheduleTimelineExit classes which provides the details associated with the exit from a timeline related to a scheduled activity instance.,Ref,timelineExit,Relationship,,
ScheduledActivityInstance,Concrete,C201350,Scheduled Activity Instance,ScheduledActivityInstance-extensionAttributes,ScheduledActivityInstance-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ScheduledDecisionInstance,Concrete,C201351,Scheduled Decision Instance,ScheduledDecisionInstance-conditionAssignments,ScheduledDecisionInstance-conditionAssignments,ConditionAssignment,1..*,,,A USDM relationship between the ScheduledDecisionInstance and ConditionAssignment classes which identifies the set of condition assignments associated with a scheduled decision instance.,Value,conditionAssignments,Relationship,,
ScheduledDecisionInstance,Concrete,C201351,Scheduled Decision Instance,ScheduledDecisionInstance-extensionAttributes,ScheduledDecisionInstance-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ScheduledInstance,Abstract,C201299,Scheduled Instance,ScheduledInstance-defaultConditionId,ScheduledInstance-defaultConditionId,ScheduledInstance,0..1,,,A USDM relationship within the ScheduledActivityInstance class which identifies the default condition within a scheduled activity instance.,Ref,defaultCondition,Relationship,,
ScheduledInstance,Abstract,C201299,Scheduled Instance,ScheduledInstance-epochId,ScheduledInstance-epochId,StudyEpoch,0..1,,,A USDM relationship between the ScheduledActivityInstance and StudyEpoch classes which identifies the study epoch associated with a scheduled activity instance.,Ref,epoch,Relationship,,
Strength,Concrete,C215495,Substance Strength,Strength-numerator,Strength-numerator,QuantityRange,1,C80490,Numerator,The dividend of a fraction.,Value,numerator,Attribute,,
Strength,Concrete,C215495,Substance Strength,Strength-denominator,Strength-denominator,Quantity,0..1,C80489,Denominator,The divisor of a fraction.,Value,denominator,Attribute,,
Strength,Concrete,C215495,Substance Strength,Strength-extensionAttributes,Strength-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Study,Concrete,C15206,Clinical Study,Study-versions,Study-versions,StudyVersion,0..*,,,A USDM relationship between the Study and StudyVersion classes which identifies the set of versions associated with the study.,Value,versions,Relationship,,
Study,Concrete,C15206,Clinical Study,Study-documentedBy,Study-documentedBy,StudyDefinitionDocument,0..*,,,A USDM relationship between the Study and StudyDefinitionDocument classes signifying that the study is documented in a study definition document.,Value,documentedBy,Relationship,,
Study,Concrete,C15206,Clinical Study,Study-extensionAttributes,Study-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-notes,StudyAmendment-notes,CommentAnnotation,0..*,C215538,Study Amendment Notes,A brief written record relevant to the study amendment.,Value,notes,Attribute,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-geographicScopes,StudyAmendment-geographicScopes,GeographicScope,1..*,,,A USDM relationship between the StudyAmendment and GeographicScope classes which identifies the set of geographic scopes associated with the study amendment.,Value,geographicScopes,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-dateValues,StudyAmendment-dateValues,GovernanceDate,0..*,,,A USDM relationship between the StudyAmendment and GovernanceDate classes which provides the set of governance dates associated with the study amendment.,Value,dateValues,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-impacts,StudyAmendment-impacts,StudyAmendmentImpact,0..*,,,A USDM relationship between the StudyAmendment and StudyAmendmentImpact classes which identifies the set of impacts that the study amendment has on the study or study subjects.,Value,impacts,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-enrollments,StudyAmendment-enrollments,SubjectEnrollment,0..*,,,A USDM relationship between the StudyAmendment and SubjectEnrollment classes which provides the set of subject enrollments associated with the study amendment.,Value,enrollments,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-secondaryReasons,StudyAmendment-secondaryReasons,StudyAmendmentReason,0..*,,,A USDM relationship between the StudyAmendment and StudyAmendmentReason classes which identifies the set of secondary reasons for issuing the study amendment.,Value,secondaryReasons,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-changes,StudyAmendment-changes,StudyChange,1..*,,,A USDM relationship between the StudyAmendment and  StudyChange classes which identifies the set of changes associated with the study amendment.,Value,changes,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-previousId,StudyAmendment-previousId,StudyAmendment,0..1,,,A USDM relationship within the StudyAmendment class which identifies the study amendment that chronologically precedes the current study amendment.,Ref,previous,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-primaryReason,StudyAmendment-primaryReason,StudyAmendmentReason,1,,,A USDM relationship between the StudyAmendment and StudyAmendmentReason classes which identifies the primary reason for issuing the study amendment.,Value,primaryReason,Relationship,,
StudyAmendment,Concrete,C207594,Study Amendment,StudyAmendment-extensionAttributes,StudyAmendment-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyAmendmentImpact,Concrete,C215500,Study Amendment Impact,StudyAmendmentImpact-type,StudyAmendmentImpact-type,Code,1,C215612,Study Amendment Impact Type,A characterization or classification of the study amendment impact.,Value,type,Attribute,C215481,Y (C215481)
StudyAmendmentImpact,Concrete,C215500,Study Amendment Impact,StudyAmendmentImpact-notes,StudyAmendmentImpact-notes,CommentAnnotation,0..*,C215613,Study Amendment Impact Notes,A brief written record relevant to the study amendment impact.,Value,notes,Attribute,,
StudyAmendmentImpact,Concrete,C215500,Study Amendment Impact,StudyAmendmentImpact-extensionAttributes,StudyAmendmentImpact-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyAmendmentReason,Concrete,C207457,Study Amendment Reason,StudyAmendmentReason-code,StudyAmendmentReason-code,Code,1,C207540,Study Amendment Reason Code,A symbol or combination of symbols which is assigned to the study amendment reason.,Value,code,Attribute,C207415,Y (C207415)
StudyAmendmentReason,Concrete,C207457,Study Amendment Reason,StudyAmendmentReason-extensionAttributes,StudyAmendmentReason-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyArm,Concrete,C174447,Study Arm,StudyArm-type,StudyArm-type,Code,1,C172457,Study Arm Type,A characterization or classification of the study arm.,Value,type,Attribute,C174222,Y (Protocol Terminology Codelist C174222)
StudyArm,Concrete,C174447,Study Arm,StudyArm-dataOriginType,StudyArm-dataOriginType,Code,1,C188829,Study Arm Data Origin Type,A characterization or classification of the study arm with respect to where the study arm data originates.,Value,dataOriginType,Attribute,C188727,Y (C188727)
StudyArm,Concrete,C174447,Study Arm,StudyArm-notes,StudyArm-notes,CommentAnnotation,0..*,C215515,Study Arm Notes,A brief written record relevant to the study arm.,Value,notes,Attribute,,
StudyArm,Concrete,C174447,Study Arm,StudyArm-populationIds,StudyArm-populationIds,PopulationDefinition,0..*,,,A USDM relationship between the StudyArm and PopulationDefinition classes which identifies the set of populations associated with the study arm.,Ref,populations,Relationship,,
StudyArm,Concrete,C174447,Study Arm,StudyArm-extensionAttributes,StudyArm-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyCell,Concrete,C188810,Study Design Cell,StudyCell-armId,StudyCell-armId,StudyArm,1,,,A USDM relationship between the StudyCell and StudyArm classes which identifies the study arm associated with a study cell.,Ref,arm,Relationship,,
StudyCell,Concrete,C188810,Study Design Cell,StudyCell-epochId,StudyCell-epochId,StudyEpoch,1,,,A USDM relationship between the StudyCell and StudyEpoch classes which identifies the study epoch associated with a study cell.,Ref,epoch,Relationship,,
StudyCell,Concrete,C188810,Study Design Cell,StudyCell-elementIds,StudyCell-elementIds,StudyElement,1..*,,,A USDM relationship between the StudyCell and StudyElement classes which identifies the set of study elements associated with the study cell.,Ref,elements,Relationship,,
StudyCell,Concrete,C188810,Study Design Cell,StudyCell-extensionAttributes,StudyCell-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyChange,Concrete,C215498,Study Change,StudyChange-changedSections,StudyChange-changedSections,DocumentContentReference,1..*,,,A USDM relationship between the StudyChange and DocumentContentReference class which provides the set of changed document sections related to the study change.,Value,changedSections,Relationship,,
StudyChange,Concrete,C215498,Study Change,StudyChange-extensionAttributes,StudyChange-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyCohort,Concrete,C61512,Study Cohort,StudyCohort-characteristics,StudyCohort-characteristics,Characteristic,0..*,,,A USDM relationship between the StudyCohort and Characteristic classes which identifies the set of subject characteristics associated with the study cohort.,Value,characteristics,Relationship,,
StudyCohort,Concrete,C61512,Study Cohort,StudyCohort-indicationIds,StudyCohort-indicationIds,Indication,0..*,,,A USDM relationship between the StudyCohort and Indication classes which identifies the set of indications associated with the study cohort.,Ref,indications,Relationship,,
StudyCohort,Concrete,C61512,Study Cohort,StudyCohort-extensionAttributes,StudyCohort-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyDefinitionDocument,Concrete,C215490,Study Definition Document,StudyDefinitionDocument-type,StudyDefinitionDocument-type,Code,1,C215564,Study Definition Document Type,A characterization or classification of the study definition document.,Value,type,Attribute,C215477,Y (C215477)
StudyDefinitionDocument,Concrete,C215490,Study Definition Document,StudyDefinitionDocument-language,StudyDefinitionDocument-language,Code,1,C215563,Study Definition Document Language,The language in which the study definition document is written.,Value,language,Attribute,,Y (Point out to ISO 639 language value list)
StudyDefinitionDocument,Concrete,C215490,Study Definition Document,StudyDefinitionDocument-notes,StudyDefinitionDocument-notes,CommentAnnotation,0..*,C215565,Study Definition Document Notes,A brief written record relevant to the study definition document.,Value,notes,Attribute,,
StudyDefinitionDocument,Concrete,C215490,Study Definition Document,StudyDefinitionDocument-childIds,StudyDefinitionDocument-childIds,StudyDefinitionDocument,0..*,,,A USDM relationship within the StudyDefinitionDocument class which identifies the set of child documents of a study definition document.,Ref,children,Relationship,,
StudyDefinitionDocument,Concrete,C215490,Study Definition Document,StudyDefinitionDocument-versions,StudyDefinitionDocument-versions,StudyDefinitionDocumentVersion,0..*,,,A USDM relationship between the StudyDefinitionDocument and StudyDefinitionDocumentVersion classes which identifies the set of versions associated with the study definition document.,Value,versions,Relationship,,
StudyDefinitionDocument,Concrete,C215490,Study Definition Document,StudyDefinitionDocument-extensionAttributes,StudyDefinitionDocument-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyDefinitionDocumentVersion,Concrete,C215491,Study Definition Document Version,StudyDefinitionDocumentVersion-status,StudyDefinitionDocumentVersion-status,Code,1,C215567,Study Definition Document Status,A condition of the study definition document at a point in time with respect to its state of readiness for implementation.,Value,status,Attribute,C188723,Y (C188723)
StudyDefinitionDocumentVersion,Concrete,C215491,Study Definition Document Version,StudyDefinitionDocumentVersion-notes,StudyDefinitionDocumentVersion-notes,CommentAnnotation,0..*,C215568,Study Definition Document Version Notes,A brief written record relevant to the study definition document version.,Value,notes,Attribute,,
StudyDefinitionDocumentVersion,Concrete,C215491,Study Definition Document Version,StudyDefinitionDocumentVersion-dateValues,StudyDefinitionDocumentVersion-dateValues,GovernanceDate,0..*,,,A USDM relationship between the StudyDefinitionDocumentVersion and GovernanceDate classes which provides the set of governance dates associated with the study definition document version.,Value,dateValues,Relationship,,
StudyDefinitionDocumentVersion,Concrete,C215491,Study Definition Document Version,StudyDefinitionDocumentVersion-contents,StudyDefinitionDocumentVersion-contents,NarrativeContent,0..*,,,A USDM relationship between the StudyDefinitionDocumentVersion and NarrativeContent classes which identifies the set of narrative content associated with the version of the study definition document.,Value,contents,Relationship,,
StudyDefinitionDocumentVersion,Concrete,C215491,Study Definition Document Version,StudyDefinitionDocumentVersion-extensionAttributes,StudyDefinitionDocumentVersion-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-therapeuticAreas,StudyDesign-therapeuticAreas,Code,0..*,C215633,Interventional Study Design Therapeutic Areas,"A categorization of a disease, disorder, or other condition based on common characteristics and often associated with a medical specialty focusing on research and development of specific therapeutic interventions for the purpose of treatment and prevention, which is associated with the interventional study design.",Value,therapeuticAreas,Attribute,,Y (Point out to external dictionaries)
StudyDesign,Abstract,C15320,Study Design,StudyDesign-studyType,StudyDesign-studyType,Code,0..1,C215631,Interventional Study Design Study Type,The study type associated with the interventional study design.,Value,studyType,Attribute,C99077,Y (SDTM Terminology Codelist C99077)
StudyDesign,Abstract,C15320,Study Design,StudyDesign-characteristics,StudyDesign-characteristics,Code,0..*,C215632,Interventional Study Design Characteristics,The distinguishing qualities or prominent aspects of an interventional study design.,Value,characteristics,Attribute,C207416,Y (C207416)
StudyDesign,Abstract,C15320,Study Design,StudyDesign-studyPhase,StudyDesign-studyPhase,AliasCode,0..1,C215630,Interventional Study Design Study Phase,The study phase associated with the interventional study design.,Value,studyPhase,Attribute,C66737,Y (SDTM Terminology Codelist C66737)
StudyDesign,Abstract,C15320,Study Design,StudyDesign-notes,StudyDesign-notes,CommentAnnotation,0..*,C215634,Interventional Study Design Notes,A brief written record relevant to the interventional study design.,Value,notes,Attribute,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-activities,StudyDesign-activities,Activity,0..*,,,A USDM relationship between the InterventionalStudyDesign and Activity classes which identifies the set of activities associated with the interventional study design.,Value,activities,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-biospecimenRetentions,StudyDesign-biospecimenRetentions,BiospecimenRetention,0..*,,,A USDM relationship between the InterventionalStudyDesign and BiospecimenRetention classes which identifies the status of biospecimen retentions related to the interventional study design.,Value,biospecimenRetentions,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-eligibilityCriteria,StudyDesign-eligibilityCriteria,EligibilityCriterion,1..*,,,A USDM relationship between the InterventionalStudyDesign and EligibilityCriterion classes which identifies the set of eligibility criterion associated with the interventional study design.,Value,eligibilityCriteria,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-encounters,StudyDesign-encounters,Encounter,0..*,,,A USDM relationship between the InterventionalStudyDesign and Encounter classes which identifies the set of encounters associated with the interventional study design.,Value,encounters,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-estimands,StudyDesign-estimands,Estimand,0..*,,,A USDM relationship between the InterventionalStudyDesign and Estimand classes which identifies the set of estimands associated with the interventional study design.,Value,estimands,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-indications,StudyDesign-indications,Indication,0..*,,,A USDM relationship between the InterventionalStudyDesign and Indication classes which identifies the set of indications associated with the interventional study design.,Value,indications,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-objectives,StudyDesign-objectives,Objective,0..*,,,A USDM relationship between the InterventionalStudyDesign and Objective classes which identifies the set of objectives associated with the interventional study design.,Value,objectives,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-scheduleTimelines,StudyDesign-scheduleTimelines,ScheduleTimeline,0..*,,,A USDM relationship between the InterventionalStudyDesign and ScheduleTimeline classes which identifies the set of scheduled timelines associated with the interventional study design.,Value,scheduleTimelines,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-arms,StudyDesign-arms,StudyArm,1..*,,,A USDM relationship between the InterventionalStudyDesign and StudyArm classes which identifies the set of study arms associated with the interventional study design.,Value,arms,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-studyCells,StudyDesign-studyCells,StudyCell,1..*,,,A USDM relationship between the InterventionalStudyDesign and StudyCell classes which identifies the set of study cells associated with the interventional study design. ,Value,studyCells,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-documentVersionIds,StudyDesign-documentVersionIds,StudyDefinitionDocumentVersion,0..*,,,A USDM relationship between the InterventionalStudyDesign and StudyDefinitionDocumentVersion classes which identifies the version of the study definition documents associated with the interventional study design.,Ref,documentVersions,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-elements,StudyDesign-elements,StudyElement,0..*,,,A USDM relationship between the InterventionalStudyDesign and StudyElement classes which identifies the set of study elements associated with the interventional study design.,Value,elements,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-studyInterventionIds,StudyDesign-studyInterventionIds,StudyIntervention,0..*,,,A USDM relationship between the InterventionalStudyDesign and StudyIntervention classes which identifies the set of study interventions associated with interventional study design.,Ref,studyInterventions,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-epochs,StudyDesign-epochs,StudyEpoch,1..*,,,A USDM relationship between the InterventionalStudyDesign and StudyEpoch classes which identifies the set of study epochs associated with the interventional study design.,Value,epochs,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-population,StudyDesign-population,StudyDesignPopulation,1,,,A USDM relationship between the InterventionalStudyDesign and StudyDesignPopulation classes which identifies the population associated with the interventional study design.,Value,population,Relationship,,
StudyDesign,Abstract,C15320,Study Design,StudyDesign-analysisPopulations,StudyDesign-analysisPopulations,AnalysisPopulation,0..*,,,,Value,,,,
StudyDesignPopulation,Concrete,C142728,Study Design Population,StudyDesignPopulation-cohorts,StudyDesignPopulation-cohorts,StudyCohort,0..*,,,A USDM relationship between the StudyDesignPopulation and StudyCohort classes which identifies the set of study cohorts associated with the study design population.,Value,cohorts,Relationship,,
StudyDesignPopulation,Concrete,C142728,Study Design Population,StudyDesignPopulation-extensionAttributes,StudyDesignPopulation-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyElement,Concrete,C142735,Study Design Element,StudyElement-notes,StudyElement-notes,CommentAnnotation,0..*,C215517,Study Element Notes,A brief written record relevant to the study element.,Value,notes,Attribute,,
StudyElement,Concrete,C142735,Study Design Element,StudyElement-transitionEndRule,StudyElement-transitionEndRule,TransitionRule,0..1,,,A USDM relationship between the StudyElement and TransitionRule classes which provides the details associated with a transition rule used to trigger the end of a study element.,Value,transitionEndRule,Relationship,,
StudyElement,Concrete,C142735,Study Design Element,StudyElement-studyInterventionIds,StudyElement-studyInterventionIds,StudyIntervention,0..*,,,A USDM relationship between the StudyElement and StudyIntervention classes which identifies the set of study interventions associated with the study element.,Ref,studyInterventions,Relationship,,
StudyElement,Concrete,C142735,Study Design Element,StudyElement-transitionStartRule,StudyElement-transitionStartRule,TransitionRule,0..1,,,A USDM relationship between the StudyElement and TransitionRule classes which provides the details associated with a transition rule used to trigger the start of a study element.,Value,transitionStartRule,Relationship,,
StudyElement,Concrete,C142735,Study Design Element,StudyElement-extensionAttributes,StudyElement-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyEpoch,Concrete,C71738,Study Epoch,StudyEpoch-type,StudyEpoch-type,Code,1,C188830,Study Epoch Type,"A characterization or classification of the study epoch, i.e., the named time period defined in the protocol, wherein a study activity is specified and unchanging throughout the interval, to support a study-specific purpose.",Value,type,Attribute,C99079,Y (SDTM Terminology Codelist C99079)
StudyEpoch,Concrete,C71738,Study Epoch,StudyEpoch-notes,StudyEpoch-notes,CommentAnnotation,0..*,C215516,Study Epoch Notes,A brief written record relevant to the study epoch.,Value,notes,Attribute,,
StudyEpoch,Concrete,C71738,Study Epoch,StudyEpoch-previousId,StudyEpoch-previousId,StudyEpoch,0..1,,,A USDM relationship within the StudyEpoch class which identifies the study epoch that chronologically precedes the current study epoch.,Ref,previous,Relationship,,
StudyEpoch,Concrete,C71738,Study Epoch,StudyEpoch-nextId,StudyEpoch-nextId,StudyEpoch,0..1,,,A USDM relationship within the StudyEpoch class which identifies the study epoch that chronologically follows the current study epoch.,Ref,next,Relationship,,
StudyEpoch,Concrete,C71738,Study Epoch,StudyEpoch-extensionAttributes,StudyEpoch-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyIdentifier,Concrete,C83082,Study Identifier,StudyIdentifier-extensionAttributes,StudyIdentifier-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyIntervention,Concrete,C207649,Study Intervention,StudyIntervention-role,StudyIntervention-role,Code,1,C207560,Study Intervention Role,The intended use of the trial intervention within the context of the study design.,Value,role,Attribute,C207417,Y (C207417)
StudyIntervention,Concrete,C207649,Study Intervention,StudyIntervention-type,StudyIntervention-type,Code,1,C98747,Study Intervention Type,The kind of product or procedure studied in a trial.,Value,type,Attribute,C99078,Y (SDTM Terminology Codelist C99078)
StudyIntervention,Concrete,C207649,Study Intervention,StudyIntervention-codes,StudyIntervention-codes,Code,0..*,C207648,Study Intervention Code,A symbol or combination of symbols which is assigned to the study intervention.,Value,codes,Attribute,,"Y (Point out to multiple Biomedical coding dictionaries such as WHODrug, ATC, UNII, etc.)"
StudyIntervention,Concrete,C207649,Study Intervention,StudyIntervention-minimumResponseDuration,StudyIntervention-minimumResponseDuration,Quantity,0..1,C207557,Study Intervention Minimum Response Duration,The value representing the minimum amount of time required to meet the criteria for response to study intervention.,Value,minimumResponseDuration,Attribute,,
StudyIntervention,Concrete,C207649,Study Intervention,StudyIntervention-notes,StudyIntervention-notes,CommentAnnotation,0..*,C215543,Study Intervention Notes,A brief written record relevant to the study intervention.,Value,notes,Attribute,,
StudyIntervention,Concrete,C207649,Study Intervention,StudyIntervention-administrations,StudyIntervention-administrations,Administration,0..*,,,A USDM relationship between the StudyIntervention and AgentAdministration classes which identifies the set of agent administrations associated with the study intervention.,Value,administrations,Relationship,,
StudyIntervention,Concrete,C207649,Study Intervention,StudyIntervention-extensionAttributes,StudyIntervention-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
StudyRole,Concrete,C215497,Study Role,StudyRole-code,StudyRole-code,Code,1,C215603,Study Role Code,A symbol or combination of symbols which is assigned to the study role.,Value,code,Attribute,C215480,Y (C215480)
StudyRole,Concrete,C215497,Study Role,StudyRole-notes,StudyRole-notes,CommentAnnotation,0..*,C216994,Study Role Notes,A brief written record relevant to the study role.,Value,notes,Attribute,,
StudyRole,Concrete,C215497,Study Role,StudyRole-assignedPersons,StudyRole-assignedPersons,AssignedPerson,0..*,,,A USDM relationship between the StudyRole and AssignedPerson classes that identifies the set of individuals that are assigned to fill a particular role within the study.,Value,assignedPersons,Relationship,,
StudyRole,Concrete,C215497,Study Role,StudyRole-masking,StudyRole-masking,Masking,0..1,,,A USDM relationship between the StudyRole and Masking classes which describes the masking associated with the study role.,Value,masking,Relationship,,
StudyRole,Concrete,C215497,Study Role,StudyRole-organizationIds,StudyRole-organizationIds,Organization,0..*,,,A USDM relationship between the StudyRole and Organization classes which identifies the set of organizations associated with the study role.,Ref,organizations,Relationship,,
StudyRole,Concrete,C215497,Study Role,StudyRole-appliesToIds,StudyRole-appliesToIds,StudyVersion | StudyDesign,0..*,,,A USDM relationship between the StudyRole and either StudyVersion or StudyDesign classes that identifies the study version or study design to which the study role applies.,Ref,appliesTo,Relationship,,
