target_class,attribute,declaring_class,range_kind
CommentAnnotation,BiomedicalConceptSurrogate-notes,BiomedicalConceptSurrogate,direct
CommentAnnotation,EligibilityCriterion-notes,EligibilityCriterion,direct
CommentAnnotation,Encounter-notes,Encounter,direct
CommentAnnotation,Estimand-notes,Estimand,direct
CommentAnnotation,Indication-notes,Indication,direct
CommentAnnotation,MedicalDevice-notes,MedicalDevice,direct
CommentAnnotation,PopulationDefinition-notes,PopulationDefinition,direct
CommentAnnotation,Procedure-notes,Procedure,direct
CommentAnnotation,StudyAmendment-notes,StudyAmendment,direct
CommentAnnotation,StudyAmendmentImpact-notes,StudyAmendmentImpact,direct
CommentAnnotation,StudyArm-notes,StudyArm,direct
CommentAnnotation,StudyDefinitionDocument-notes,StudyDefinitionDocument,direct
CommentAnnotation,StudyDefinitionDocumentVersion-notes,StudyDefinitionDocumentVersion,direct
CommentAnnotation,StudyDesign-notes,StudyDesign,direct
CommentAnnotation,StudyElement-notes,StudyElement,direct
CommentAnnotation,StudyEpoch-notes,StudyEpoch,direct
CommentAnnotation,StudyIntervention-notes,StudyIntervention,direct
CommentAnnotation,StudyRole-notes,StudyRole,direct
CommentAnnotation,StudyVersion-notes,StudyVersion,direct
CommentAnnotation,SyntaxTemplate-notes,SyntaxTemplate,direct
Condition,StudyVersion-conditions,StudyVersion,direct
ConditionAssignment,ScheduledDecisionInstance-conditionAssignments,ScheduledDecisionInstance,direct
DocumentContentReference,StudyChange-changedSections,StudyChange,direct
Duration,Administration-duration,Administration,direct
Duration,ScheduleTimeline-plannedDuration,ScheduleTimeline,direct
EligibilityCriterion,EligibilityCriterion-nextId,EligibilityCriterion,direct
EligibilityCriterion,EligibilityCriterion-previousId,EligibilityCriterion,direct
EligibilityCriterion,PopulationDefinition-criterionIds,PopulationDefinition,direct
EligibilityCriterion,StudyDesign-eligibilityCriteria,StudyDesign,direct
EligibilityCriterionItem,EligibilityCriterion-criterionItemId,EligibilityCriterion,direct
EligibilityCriterionItem,StudyVersion-eligibilityCriterionItems,StudyVersion,direct
Encounter,Encounter-nextId,Encounter,direct
Encounter,Encounter-previousId,Encounter,direct
Encounter,ScheduledActivityInstance-encounterId,ScheduledActivityInstance,direct
Encounter,StudyDesign-encounters,StudyDesign,direct
Endpoint,Estimand-variableOfInterestId,Estimand,direct
Endpoint,Objective-endpoints,Objective,direct
Estimand,StudyDesign-estimands,StudyDesign,direct
ExtensionAttribute,Abbreviation-extensionAttributes,Abbreviation,direct
ExtensionAttribute,Activity-extensionAttributes,Activity,direct
ExtensionAttribute,Address-extensionAttributes,Address,direct
ExtensionAttribute,AdministrableProduct-extensionAttributes,AdministrableProduct,direct
ExtensionAttribute,AdministrableProductIdentifier-extensionAttributes,AdministrableProductIdentifier,direct
ExtensionAttribute,AdministrableProductProperty-extensionAttributes,AdministrableProductProperty,direct
ExtensionAttribute,Administration-extensionAttributes,Administration,direct
ExtensionAttribute,AliasCode-extensionAttributes,AliasCode,direct
ExtensionAttribute,AnalysisPopulation-extensionAttributes,AnalysisPopulation,direct
ExtensionAttribute,AssignedPerson-extensionAttributes,AssignedPerson,direct
ExtensionAttribute,BiomedicalConcept-extensionAttributes,BiomedicalConcept,direct
ExtensionAttribute,BiomedicalConceptCategory-extensionAttributes,BiomedicalConceptCategory,direct
ExtensionAttribute,BiomedicalConceptProperty-extensionAttributes,BiomedicalConceptProperty,direct
ExtensionAttribute,BiomedicalConceptSurrogate-extensionAttributes,BiomedicalConceptSurrogate,direct
ExtensionAttribute,BiospecimenRetention-extensionAttributes,BiospecimenRetention,direct
ExtensionAttribute,Characteristic-extensionAttributes,Characteristic,direct
ExtensionAttribute,Code-extensionAttributes,Code,direct
ExtensionAttribute,CommentAnnotation-extensionAttributes,CommentAnnotation,direct
ExtensionAttribute,Condition-extensionAttributes,Condition,direct
ExtensionAttribute,ConditionAssignment-extensionAttributes,ConditionAssignment,direct
ExtensionAttribute,DocumentContentReference-extensionAttributes,DocumentContentReference,direct
ExtensionAttribute,Duration-extensionAttributes,Duration,direct
ExtensionAttribute,EligibilityCriterion-extensionAttributes,EligibilityCriterion,direct
ExtensionAttribute,EligibilityCriterionItem-extensionAttributes,EligibilityCriterionItem,direct
ExtensionAttribute,Encounter-extensionAttributes,Encounter,direct
ExtensionAttribute,Endpoint-extensionAttributes,Endpoint,direct
ExtensionAttribute,Estimand-extensionAttributes,Estimand,direct
ExtensionAttribute,ExtensionAttribute-extensionAttributes,ExtensionAttribute,direct
ExtensionAttribute,ExtensionClass-extensionAttributes,ExtensionClass,direct
ExtensionAttribute,GeographicScope-extensionAttributes,GeographicScope,direct
ExtensionAttribute,GovernanceDate-extensionAttributes,GovernanceDate,direct
ExtensionAttribute,Indication-extensionAttributes,Indication,direct
ExtensionAttribute,Ingredient-extensionAttributes,Ingredient,direct
ExtensionAttribute,IntercurrentEvent-extensionAttributes,IntercurrentEvent,direct
ExtensionAttribute,InterventionalStudyDesign-extensionAttributes,InterventionalStudyDesign,direct
ExtensionAttribute,Masking-extensionAttributes,Masking,direct
ExtensionAttribute,MedicalDevice-extensionAttributes,MedicalDevice,direct
ExtensionAttribute,MedicalDeviceIdentifier-extensionAttributes,MedicalDeviceIdentifier,direct
ExtensionAttribute,NarrativeContent-extensionAttributes,NarrativeContent,direct
ExtensionAttribute,NarrativeContentItem-extensionAttributes,NarrativeContentItem,direct
ExtensionAttribute,Objective-extensionAttributes,Objective,direct
ExtensionAttribute,ObservationalStudyDesign-extensionAttributes,ObservationalStudyDesign,direct
ExtensionAttribute,Organization-extensionAttributes,Organization,direct
ExtensionAttribute,ParameterMap-extensionAttributes,ParameterMap,direct
ExtensionAttribute,PersonName-extensionAttributes,PersonName,direct
ExtensionAttribute,Procedure-extensionAttributes,Procedure,direct
ExtensionAttribute,ProductOrganizationRole-extensionAttributes,ProductOrganizationRole,direct
ExtensionAttribute,Quantity-extensionAttributes,Quantity,direct
ExtensionAttribute,Range-extensionAttributes,Range,direct
ExtensionAttribute,ReferenceIdentifier-extensionAttributes,ReferenceIdentifier,direct
ExtensionAttribute,ResponseCode-extensionAttributes,ResponseCode,direct
ExtensionAttribute,ScheduleTimeline-extensionAttributes,ScheduleTimeline,direct
ExtensionAttribute,ScheduleTimelineExit-extensionAttributes,ScheduleTimelineExit,direct
